gene,rank,cancer_type,expression
ICOS,7,Head and Neck Squamous Cell Carcinoma (TCGA),2.016782520325203
ICOS,8,Kidney Renal Clear Cell Carcinoma (validation),1.654719
ICOS,9,Liver Hepatocellular Carcinoma (validation),1.610725974025974
ICOS,10,Lung Adenocarcinoma (TCGA),1.5589110663983905
ICOS,11,Stomach Adenocarcinoma (TCGA),1.4586245664739885
ICOS,12,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),1.4446219081272085
ICOS,13,Breast Invasive Carcinoma (TCGA),1.366291095890411
ICOS,14,Lung Squamous Cell Carcinoma (TCGA),1.3063141104294478
ICOS,15,Pancreatic Adenocarcinoma (validation),1.127675
ICOS,16,Kidney Renal Clear Cell Carcinoma (TCGA),1.0284953934740884
ICOS,17,Skin Cuteneous Melanoma (TCGA),0.9727171717171718
ICOS,18,Bladder Urothelial Carcinoma (TCGA),0.9377041420118344
ICOS,19,Pancreatic Adenocarcinoma (TCGA),0.9153221590909091
ICOS,20,Colon Adenocarcinoma (TCGA),0.8382673228346457
ICOS,21,Rectum Adenocarcinoma (TCGA),0.7719238636363636
ICOS,22,Glioblastoma Multiforme (validation),0.7171706896551724
ICOS,23,Thyroid Carcinoma (TCGA),0.5913420202020202
ICOS,24,Ovary Serous Cystadenocarcinoma (validation),0.5173098765432098
ICOS,25,Uterine Corpus Endometrial Carcinoma (TCGA),0.4732710227272727
ICOS,26,Ovary Serous Cystadenocarcinoma (TCGA),0.4676091690544413
ICOS,27,Prostate Adenocarcinoma (TCGA),0.40895125000000004
ICOS,28,Liver Hepatocellular Carcinoma (TCGA),0.33793093922651934
ICOS,29,Kidney Renal Papillary Cell Carcinoma (TCGA),0.24575390070921985
ICOS,30,Kidney Chromophobe (TCGA),0.157184375
ICOS,31,Glioblastoma Multiforme (TCGA),0.14311560283687944
TNFRSF9,1,Lung Adenocarcinoma (validation),6.7941971428571435
TNFRSF9,2,Lung Squamous Cell Carcinoma (validation),5.799266176470589
TNFRSF9,3,Kidney Renal Clear Cell Carcinoma (validation),4.168464
TNFRSF9,4,Breast Invasive Carcinoma (validation),4.081436
TNFRSF9,5,Colon Adenocarcinoma (validation),3.9959668724279833
TNFRSF9,6,Rectum Adenocarcinoma (validation),3.910312077294686
TNFRSF9,7,Kidney Renal Clear Cell Carcinoma (TCGA),3.5155147792706334
TNFRSF9,8,Testicular Germ Cell Tumor (TCGA),3.2533616541353383
TNFRSF9,9,Lung Adenocarcinoma (TCGA),2.9303132796780686
TNFRSF9,10,Stomach Adenocarcinoma (TCGA),2.6309534682080926
TNFRSF9,11,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),2.4601795053003537
TNFRSF9,12,Lung Squamous Cell Carcinoma (TCGA),2.3543302658486707
TNFRSF9,13,Glioblastoma Multiforme (validation),2.1661448275862067
TNFRSF9,14,Head and Neck Squamous Cell Carcinoma (TCGA),2.142787398373984
TNFRSF9,15,Uterine Corpus Endometrial Carcinoma (TCGA),2.0651357954545455
TNFRSF9,16,Skin Cuteneous Melanoma (TCGA),1.7386767676767676
TNFRSF9,17,Bladder Urothelial Carcinoma (TCGA),1.725630769230769
TNFRSF9,18,Pancreatic Adenocarcinoma (validation),1.7126750000000002
